Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
174.8 s,1748410922,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,5
174.8 s,1748411874,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,6
174.8 s,1748411133,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,7
174.8 s,1748412136,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,8
174.8 s,1748412246,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,9
174.8 s,1748409558,10.000 MHz,1748155082,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-50.json,10
345.3 s,3452690555,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,1
345.3 s,3452688784,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,2
345.3 s,3452690723,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,3
345.3 s,3452694197,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,4
345.3 s,3452689453,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,5
345.3 s,3452692314,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,6
345.3 s,3452693615,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,7
345.3 s,3452691607,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,8
345.3 s,3452692456,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,9
345.3 s,3452694100,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-100.json,10
345.3 s,3452694100,10.000 MHz,3452205332,9.999 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,1
7.8 s,78216328,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,2
7.8 s,78216171,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,3
7.8 s,78215646,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,4
7.8 s,78216089,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,5
7.8 s,78215620,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,6
7.8 s,78216227,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,7
7.8 s,78216292,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,8
7.8 s,78215877,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,9
7.8 s,78216152,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd.json,10
7.8 s,78216152,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,1
38.5 s,384987570,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,2
38.5 s,384988299,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,3
38.5 s,384988446,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,4
38.5 s,384988522,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,5
38.5 s,384988018,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,6
38.5 s,384988624,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,7
38.5 s,384987330,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,8
38.5 s,384986571,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,9
38.5 s,384988663,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-10.json,10
174.8 s,1748417333,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,1
174.8 s,1748417758,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,2
174.8 s,1748417792,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,3
174.8 s,1748418312,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,4
174.8 s,1748415519,10.000 MHz,1748155082,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic_10,bare-gcd-50.json,5
